season,pH value,temperature,humidity,rainfall,yield,water ,crop
1,5.5,26,36,143,3.99,80,Rice
1,5.7,29,37,99,4.26,80,Rice
1,5.9,22,38,110,4.64,80,Rice
1,6,27,39,107,3.61,80,Rice
1,6.2,20,40,137,4.65,80,Rice
1,6.3,21,41,155,4.14,80,Rice
1,6.5,30,42,149,3.64,80,Rice
0,5.8,24,40,49,3.08,50,Maize
0,5.9,19,41,80,3.96,50,Maize
0,6.1,29,42,73,4.3,50,Maize
0,6.3,20,43,66,2.1,50,Maize
0,6.6,27,44,52,4.46,50,Maize
0,6.7,32,35,76,6.39,50,Maize
0,6.8,23,36,83,6.13,50,Maize
0,6,27,49,40,1.15,60,Jowar
0,6.3,24,40,50,1.33,60,Jowar
0,6.2,29,41,42,1.64,60,Jowar
0,6.5,34,42,43,1.1,60,Jowar
0,6.6,32,43,51,1.91,60,Jowar
0,6.8,31,44,49,2.54,60,Jowar
0,7,26,45,58,1.85,60,Jowar
0,5.6,27,83,24,1.81,45,Bajra
0,5.7,24,84,37,2.1,45,Bajra
0,5.9,28,75,35,2.68,45,Bajra
0,5.8,26,76,33,1.98,45,Bajra
0,6.2,30,77,29,1.87,45,Bajra
0,6,33,78,31,2.53,45,Bajra
0,6.1,29,79,26,2.7,45,Bajra
0,4.5,27,41,110,1.82,65,Ragi
0,4.9,25,42,107,2.31,65,Ragi
0,5.4,24,43,76,2.64,65,Ragi
0,5.8,22,44,68,1.92,65,Ragi
0,6.1,26,45,120,3.05,65,Ragi
0,6.7,29,46,114,3.31,65,Ragi
0,7.5,30,47,101,3.14,65,Ragi
0,6.5,20,48,60,0.92,35,Arhar
1,6.8,19,45,62,0.81,35,Arhar
0,6.7,25,83,63,1.09,35,Arhar
1,7.1,29,84,64,0.67,35,Arhar
0,7.2,23,75,61,0.85,35,Arhar
0,7.4,22,72,60,0.99,35,Arhar
0,7.5,21,53,66,0.43,35,Arhar
0,5,31,83,250,67.79,65,Sugarcane
0,5.6,35,84,267,101.77,65,Sugarcane
0,6.2,34,80,304,112.83,65,Sugarcane
0,6.9,36,81,257,100.07,65,Sugarcane
0,7.2,31,82,299,97.97,65,Sugarcane
0,7.9,32,83,267,80.3,65,Sugarcane
0,8.5,30,84,288,88,65,Sugarcane
0,7.5,24,47,54,1.54,50,Groundnut
1,7.9,26,42,102,1.83,50,Groundnut
0,8.1,28,43,65,1.9,50,Groundnut
1,8.3,23,44,86,2,50,Groundnut
0,7.6,33,45,84,2.15,50,Groundnut
0,8.4,35,46,90,2.12,50,Groundnut
0,8.5,31,47,74,1.72,50,Groundnut
0,5.5,23,48,20,0.35,60,Sesame
0,5.9,25,49,27,0.45,60,Sesame
0,6.3,32,50,26,0.61,60,Sesame
0,6.8,33,51,24,0.45,60,Sesame
0,7.4,28,52,23,0.52,60,Sesame
0,7.7,29,53,21,0.62,60,Sesame
0,8,26,54,19,0.63,60,Sesame
0,6,25,55,49,1.44,70,Cotton
0,6.3,28,56,65,1.76,80,Cotton
0,6.1,23,57,54,2.1,75,Cotton
0,6.5,27,58,73,1.32,85,Cotton
0,6.2,30,59,62,1.67,83,Cotton
0,5.5,32,60,57,1.54,70,Cotton
0,5.9,18,61,78,1.95,80,Cotton
0,6,21,62,33,1.33,50,Sunflower
1,6.1,19,63,49,1.14,50,Sunflower
0,6.3,25,64,57,1.8,50,Sunflower
1,6.6,27,50,86,0.99,50,Sunflower
0,6.2,23,51,150,1.21,50,Sunflower
0,6.4,22,80,89,1.38,50,Sunflower
0,6.7,24,81,99,0.96,50,Sunflower
